alpha,ids
0.7928415331930456,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'K9SJDH' 'GK4E07' 'GQXBVP']
0.8126235531356655,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'KSA0KZ' 'MI04P7' 'KTORVI']
0.8241643598689128,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Z6HQ86' 'SIYCM3' 'QCRR2U']
0.8026032381747199,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IJHFLE' '52QJ8T' '83UOI4']
0.7946016045248832,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'C8VH2B' 'B9LAHH' '6QTA3U']
0.814741806966987,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'NZVDDR' '3TW6A4' 'AEWB71']
0.7950401174133357,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'O1CIFK' 'WT9FHC' 'IYYFJQ']
0.8194105774634678,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'J5WAE9' '044LNX' '7QQLOZ']
0.7954822613903657,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SAFUNF' 'KW6DCR' 'YFPDWQ']
0.8023082824392483,['HDULEH' 'NAC6N1' 'U2T1C7' ... '7WSTN9' 'X192U6' 'LMPJN0']
0.7853235485314949,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SG1QXY' 'UFCGFE' 'WJO6G8']
0.8358743050888486,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ZHWFHK' 'CGNPSR' 'KX1MEO']
0.7919496011515468,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VP0VFU' '2NGRX8' '8YEXPT']
0.8094267163848947,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'AUS4QO' 'P5OHRJ' 'O8HPCU']
0.8158394119858603,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'XZIW0R' '0EXTDF' 'RRYC5G']
0.8043682735529712,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'ON3JN9' 'YO5UIV' 'VAQUUW']
0.7479520347486028,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'I1A9KN' 'XRR9AO' 'SZMC4E']
0.8137076276483025,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'KYWZ7N' 'EXKYV3' 'L3JFGX']
0.8218313089209369,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'GFZMB0' 'HH4SN3' 'O28GGT']
0.7940972148065298,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9RZQQA' '74V8HT' '53LSPJ']
0.8317959494993633,['HDULEH' 'NAC6N1' 'U2T1C7' ... '04DT43' '4WGNXP' '4C2WM1']
0.7832848439993164,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BYHVG9' 'RXGU9A' 'ZH4JWZ']
0.8115206443432502,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BLC0AB' 'GLTV85' 'MDITAA']
0.7889704157032769,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BD55NO' 'YAU95H' 'MDITAA']
0.7937534868226838,['HDULEH' 'NAC6N1' 'U2T1C7' ... '0N8BAD' 'MNW2UP' 'A76MNW']
0.7903198095875104,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'PF2PVP' '8M008Q' 'YK4KTZ']
0.8298710462853752,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'J85PT8' 'Q51CZT' 'H64R06']
0.8427268062615298,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'FNGZRE' 'P6T3SI' '8JXALH']
0.8052089248449001,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'UZSX6M' 'MI04P7' 'IJHFLE']
0.7966955088392773,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4GC7KI' 'YGGLTY' 'TGK0WT']
0.8296638525264397,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'OM2AZD' '18GE64' 'Y70TO1']
0.8246246615839518,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'W962OR' 'HV470A' 'KPLHVT']
0.8034152584738111,['HDULEH' 'NAC6N1' 'U2T1C7' ... '7QQLOZ' 'QUWV83' 'YLVP2C']
0.8138160623191816,['HDULEH' 'NAC6N1' 'U2T1C7' ... '14ROMS' '73J79E' 'DD695Q']
0.806847540178242,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3B69PM' '59HPT0' 'CZBR14']
0.8152203841489657,['HDULEH' 'NAC6N1' 'U2T1C7' ... '0G42R2' '862X02' '0F8CWZ']
0.7604831721834698,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'V0OVZI' '4C2WM1' 'BLESPI']
0.8159988284096144,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'W0VY5N' 'R82ATM' 'Q6B4XS']
0.8013941756256054,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'O28GGT' 'TGHEU1' 'EN4YQF']
0.8207766686942414,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'G09OD4' 'B0A1WL' 'QU8NPA']
0.8183722645944409,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'J5HOLR' 'C4ZXA5' 'WSZWZR']
0.8244403483560564,['HDULEH' 'NAC6N1' 'U2T1C7' ... '16YELX' 'X42K17' '79NM8W']
0.8166872124429049,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'LMPJN0' 'LVO24N' '2WGCQ4']
0.7962294840278288,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RK4B9J' 'KQRR1I' 'WQP5SZ']
0.7808759218823702,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VF6S0N' '351KDW' 'J5WAE9']
0.8063552179612657,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4X9YKF' '6B7AUF' 'GR7J04']
0.7946252006323606,['HDULEH' 'NAC6N1' 'U2T1C7' ... '86U7KZ' 'LC7N5Q' 'FXTWCC']
0.793641375876884,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'AQPHLG' 'JNAXDJ' 'EU9KM9']
0.8037738927229017,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'WTHUBT' 'LVO24N' 'A0EAZU']
0.8107081432737117,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3260HM' '3C3XSZ' 'E645PU']
0.7966856483465105,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SZMC4E' 'FCT7AL' 'VKVU2T']
0.7942395954306594,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9CD6NT' 'Y2341P' 'VQOHN8']
0.8191957333612602,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6CHYB2' 'ON5X9M' '32TQTC']
0.7978370544484937,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6NJM2L' 'BAC2AF' '0ZG8I4']
0.780640357137945,['HDULEH' 'NAC6N1' 'U2T1C7' ... '47BUD0' '25VIKL' 'NDJYF1']
0.8165982595031059,['HDULEH' 'NAC6N1' 'U2T1C7' ... '69EIMX' '1U3B6P' 'KXS4XL']
0.8100328139285611,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IS0BBB' 'FBP4YE' 'RL4CU9']
0.8148437484718277,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3G9IIA' 'YQUDX3' 'QSLHWU']
0.820169121604699,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YHYNSO' 'IHW3M2' 'WLI5X9']
0.797485245750209,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3VR4J8' 'WSZWZR' 'TDY8GB']
0.8168217443036769,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'TMCG0E' 'Q51CZT' 'TY9RQP']
0.8148587548902319,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'LV9V1E' 'DLLU5A' '4QRT8U']
0.7898792791365418,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'H9X3CD' 'FFQT8C' '9K0SOI']
0.8200284884835121,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'B1IVX4' 'QW5QOG' 'WJO6G8']
0.8415944806833784,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'UUSK1R' 'UN8POU' '2PE13K']
0.8146847501535885,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BZGLIO' 'HM3UR6' 'EJER1R']
0.8284903087025425,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'PRX1CQ' 'D86RVG' '2UVBUF']
0.7988946298653924,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5KHGBC' 'YJWJLV' 'G3AVG8']
0.8296118805421205,['HDULEH' 'NAC6N1' 'U2T1C7' ... '922BM8' 'PUZHUT' 'A9T8L1']
0.7827406059928436,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Y2QSGT' 'JHKBUS' 'RL4CU9']
0.8187540943560735,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'N9EBBW' 'OL56PY' 'DR8QBE']
0.819971321057891,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'R5B5GR' '1O4PQQ' '0RXFW1']
0.8179626330890208,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'G472R9' 'I5JXN2' '1Q8GKB']
0.8083231385457801,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'D61T8N' 'J36NU6' 'C1PM74']
0.8168108768052472,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2N7AAS' '2ZMJ6C' 'O4QSFT']
0.8183789080628433,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YFPDWQ' 'MAB2WB' 'H9R5ET']
0.7882293360048679,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RVTUOX' 'Q6B4XS' 'TY9RQP']
0.7965111197850643,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IA86WQ' 'KHNNOK' '358FH8']
0.84364895369156,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6A83R9' 'R1P1FA' 'GP26P6']
0.8134915984372388,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'RSJ154' 'DIM0LG' 'A0EAZU']
0.8034673278858184,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'OH7EH2' 'GY5LZF' 'M3BPGH']
0.8051515176793824,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BLC0AB' '7FJAEN' 'M25Q22']
0.7645020706231939,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'PEWWN4' 'YB8OE0' 'DEGFBM']
0.7904445948834554,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4KZGQ0' 'ATVFN8' 'Q6B4XS']
0.7707546448527489,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MHZPD7' 'RVTUOX' 'VL6WIU']
0.8424908593228773,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VCRZYZ' '0PGPQI' 'ZWBG7Z']
0.831406686002396,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5E3CK4' 'C338V4' '7HQZXK']
0.7881994647316498,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'GN2C38' 'E49GSM' 'XZIW0R']
0.7951564879753483,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'IVAP1S' 'T4QMX8' 'KAVA2X']
0.8271305579926105,['HDULEH' 'NAC6N1' 'U2T1C7' ... '0NJHZQ' '5ETL5S' 'JDP5T6']
0.8015667544537093,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4WDZ33' 'HZAOA9' '5BD3LR']
0.8330096995838079,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4PYLXP' 'SEXNZ1' 'R1OH6S']
0.8184480705881384,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'DZOE3P' 'BRDCAH' '0QE4HE']
0.7906509615195161,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6B7AUF' 'Z44WBC' '50RMLG']
0.8284212685200755,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9I4Q4T' 'KHJM73' 'QMID7A']
